City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Isangel,VU,-19.55,169.2667,79.25,89,100,13.96,overcast clouds
80,Bethel,US,41.3712,-73.414,20.01,68,0,0.0,clear sky
81,Iisaku,EE,59.1014,27.3081,32.22,98,100,15.35,light snow
82,Acapulco,MX,16.8634,-99.8901,73.22,73,75,3.44,broken clouds
83,Evensk,RU,61.95,159.2333,5.81,60,0,12.19,clear sky
84,Raudeberg,NO,61.9875,5.1352,38.07,91,100,7.0,light snow
85,Laguna,US,38.421,-121.4238,52.3,92,0,0.0,mist
86,Bambous Virieux,MU,-20.3428,57.7575,82.65,74,75,17.27,light rain
87,East London,ZA,-33.0153,27.9116,79.0,73,1,25.57,clear sky
88,Husavik,IS,66.0449,-17.3389,26.51,85,100,18.21,light snow
89,Huarmey,PE,-10.0681,-78.1522,72.03,79,71,5.75,broken clouds
90,Avarua,CK,-21.2078,-159.775,71.65,94,99,1.14,light rain
91,Lata,PT,40.1629,-8.3327,65.71,26,48,5.32,scattered clouds
92,Jumla,NP,29.2747,82.1838,34.3,77,2,5.37,clear sky
93,Zhongshu,CN,24.5167,103.7667,46.83,91,99,10.13,moderate rain
94,Minatitlan,MX,17.9833,-94.5167,55.49,94,100,0.0,overcast clouds
95,Vardo,NO,70.3705,31.1107,26.15,78,68,22.53,broken clouds
96,San Luis,AR,-33.295,-66.3356,69.01,26,0,4.72,clear sky
97,Henties Bay,NA,-22.116,14.2845,73.85,74,77,9.86,broken clouds
98,Celestun,MX,20.8667,-90.4,72.45,79,49,12.08,scattered clouds
99,Hobart,AU,-42.8794,147.3294,54.01,75,51,0.0,broken clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,-15.41,98,100,10.31,overcast clouds
101,Do Gonbadan,IR,30.3586,50.7981,57.29,41,20,9.22,few clouds
102,Ebetsu,JP,43.1081,141.5506,25.12,87,100,8.77,overcast clouds
